"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","CLHat",10.1211883175,10.1204,0.194765259934269,0.191848440000001,9.796847,10.444815,1.00718777885387,319.942148317173,630.619204791937
"2","QHat",14.858390025,14.85315,0.347372215277771,0.34351842,14.30089,15.43194,0.999975398816315,1106.12622349889,1712.82074071574
"3","V1Hat",34.4926795,34.5163,1.00419461434556,0.994972859999999,32.81354,36.08641,1.00432495295973,671.777345670385,1563.39624638497
"4","V2Hat",103.268698475,103.2915,2.87595662347856,2.8777266,98.56765,108.01905,1.00225656854201,1689.16503051049,2580.38197536087
"5","kaHat",1.9677000425,1.969025,0.0755235475261254,0.0735888510000005,1.843249,2.087323,1.00051620000564,1204.53142764474,1747.42662130126
"6","ke0Hat",1.1016736855,1.09999,0.0461154736414783,0.0453897989999999,1.029849,1.180061,1.00079487106366,4008.33693712839,3167.02990598919
"7","EC50Hat",99.5124463,99.5422,2.12375085547489,2.09780487000001,95.9815,102.9872,0.999924195394553,2557.43604076862,2773.51922406643
"8","omega[1]",0.26760274125,0.2671155,0.0156725296280477,0.0159764976,0.2423147,0.294503,1.0078399504852,594.842179073461,978.297027481882
"9","omega[2]",0.2285414415,0.2277035,0.0210965346730424,0.021045507,0.1952006,0.26425305,1.00164845321452,1245.45251815304,1966.91146560041
"10","omega[3]",0.211934266,0.2113445,0.0291452008024597,0.0291990657,0.16536015,0.26100445,1.00546177249135,623.819712727012,1692.24802326098
"11","omega[4]",0.26293159125,0.261962,0.0261731361706412,0.0259395696,0.22092265,0.30590985,1.00172807869537,1396.6112984333,2260.42529468463
"12","omega[5]",0.2722527475,0.270643,0.0360934855528332,0.0347358354,0.21686485,0.33463015,1.00844852876098,293.131519565761,728.866716196231
"13","rho[1,2]",0.197029984096275,0.1998765,0.100060021931274,0.1012949385,0.028564565,0.35950265,1.00334246284181,1322.2613625532,1955.86223813674
"14","rho[1,3]",-0.161327365047825,-0.1614975,0.12242180975088,0.12133398249,-0.36057995,0.0422583799999998,1.00114854753755,1609.16001438396,2270.51482618423
"15","rho[1,4]",-0.10142272316415,-0.1053915,0.107127911276008,0.10692666873,-0.26979935,0.0827143249999999,1.00073209679014,1685.59092074272,2353.49755110182
"16","rho[1,5]",0.0159028029609925,0.01480755,0.128225767383068,0.12816424656,-0.191828,0.225874349999999,1.00003789629078,2039.76655693431,2939.98755503025
"17","rho[2,3]",0.0914900841677,0.0920323,0.144288364200598,0.148050901509,-0.14324125,0.32804905,1.00826319028344,718.187486833365,1550.8363857967
"18","rho[2,4]",0.185950222258427,0.1902435,0.124700277496754,0.1249394433,-0.02549235,0.38442175,1.00477028374682,948.704053654898,1819.19901282445
"19","rho[2,5]",0.146339584568625,0.1454885,0.156997755211571,0.16091458404,-0.1110146,0.402134,1.002681516583,626.620414494255,1546.15717803325
"20","rho[3,4]",0.8149661315,0.8266225,0.0926103835016911,0.0939093666,0.6455994,0.94720335,1.01040959981703,309.098425776103,736.635098528292
"21","rho[3,5]",-0.31833488361775,-0.323144,0.21896461769482,0.2281632444,-0.67767925,0.0549150599999998,1.01564226608299,200.805771838931,607.958428862073
"22","rho[4,5]",-0.294548053964,-0.2987045,0.160725862779395,0.1615122201,-0.5507358,-0.0194987050000005,1.0081955781304,546.9979547195,1151.09162029367
"23","omegaKe0",0.26513091585,0.2645895,0.0474488284890381,0.0467923386,0.18814595,0.3459217,1.00095003836652,1731.27581518966,2049.89181470539
"24","omegaEC50",0.21578154675,0.2157845,0.0202167898342718,0.0199795176,0.1824833,0.2491656,1.00060198245789,1599.56663200314,1844.05563871083
"25","sigma",0.0990701752,0.09903105,0.00224968299150136,0.00235696335,0.09538309,0.102854,1.00247131952723,1726.28269192853,2836.02659888794
"26","sigmaResp",10.16494831,10.16585,0.197857836422145,0.198001229999999,9.8442845,10.49514,1.00163976581244,4788.52669116086,2923.20334621159
