"","X1","mean","se_mean","sd","2.5\%","25\%","50\%","75\%","97.5\%","n_eff","Rhat"
"1","lp__","$-201.282$","$10.073$","$84.189$","$-333.764$","$-259.017$","$-213.416$","$-154.381$","$  8.549$","$  69.850$","$1.044$"
"2","CLHat","$  10.095$","$ 0.003$","$ 0.201$","$   9.712$","$   9.958$","$  10.096$","$  10.231$","$ 10.483$","$4000.000$","$0.999$"
"3","QHat","$  14.867$","$ 0.014$","$ 0.357$","$  14.182$","$  14.620$","$  14.862$","$  15.106$","$ 15.563$","$ 678.208$","$1.007$"
"4","V1Hat","$  34.188$","$ 0.067$","$ 1.089$","$  31.940$","$  33.494$","$  34.214$","$  34.918$","$ 36.251$","$ 267.748$","$1.016$"
"5","V2Hat","$ 103.562$","$ 0.076$","$ 2.925$","$  98.031$","$ 101.600$","$ 103.454$","$ 105.472$","$109.583$","$1488.296$","$1.001$"
"6","kaHat","$   1.930$","$ 0.004$","$ 0.077$","$   1.771$","$   1.880$","$   1.933$","$   1.982$","$  2.076$","$ 334.888$","$1.014$"
"7","ke0Hat","$   1.050$","$ 0.001$","$ 0.044$","$   0.967$","$   1.020$","$   1.051$","$   1.078$","$  1.137$","$1164.741$","$1.000$"
"8","EC50Hat","$ 104.337$","$ 0.040$","$ 2.100$","$ 100.169$","$ 102.909$","$ 104.345$","$ 105.768$","$108.351$","$2744.041$","$1.000$"
"9","sigma","$   0.099$","$ 0.000$","$ 0.002$","$   0.095$","$   0.097$","$   0.099$","$   0.100$","$  0.103$","$1906.342$","$1.002$"
"10","sigmaResp","$  10.156$","$ 0.003$","$ 0.197$","$   9.779$","$  10.023$","$  10.154$","$  10.286$","$ 10.552$","$4000.000$","$1.000$"
"11","omega[1]","$   0.270$","$ 0.000$","$ 0.016$","$   0.241$","$   0.259$","$   0.269$","$   0.280$","$  0.302$","$4000.000$","$1.001$"
"12","omega[2]","$   0.231$","$ 0.001$","$ 0.021$","$   0.192$","$   0.217$","$   0.230$","$   0.245$","$  0.275$","$ 531.512$","$1.006$"
"13","omega[3]","$   0.219$","$ 0.002$","$ 0.031$","$   0.158$","$   0.199$","$   0.218$","$   0.238$","$  0.281$","$ 158.198$","$1.017$"
"14","omega[4]","$   0.267$","$ 0.001$","$ 0.026$","$   0.218$","$   0.249$","$   0.266$","$   0.284$","$  0.319$","$ 684.870$","$1.001$"
"15","omega[5]","$   0.285$","$ 0.002$","$ 0.037$","$   0.214$","$   0.259$","$   0.284$","$   0.309$","$  0.361$","$ 284.545$","$1.009$"
"16","omegaKe0","$   0.271$","$ 0.003$","$ 0.047$","$   0.183$","$   0.239$","$   0.271$","$   0.303$","$  0.363$","$ 217.350$","$1.007$"
"17","omegaEC50","$   0.213$","$ 0.001$","$ 0.021$","$   0.174$","$   0.199$","$   0.213$","$   0.227$","$  0.255$","$1190.193$","$1.000$"
"18","rho[1,2]","$   0.194$","$ 0.003$","$ 0.100$","$  -0.011$","$   0.127$","$   0.195$","$   0.265$","$  0.379$","$1000.772$","$1.004$"
"19","rho[1,3]","$  -0.157$","$ 0.005$","$ 0.126$","$  -0.395$","$  -0.243$","$  -0.157$","$  -0.072$","$  0.088$","$ 677.709$","$1.001$"
"20","rho[2,3]","$   0.079$","$ 0.012$","$ 0.155$","$  -0.227$","$  -0.024$","$   0.082$","$   0.181$","$  0.384$","$ 180.306$","$1.021$"
"21","rho[1,4]","$  -0.107$","$ 0.003$","$ 0.112$","$  -0.319$","$  -0.183$","$  -0.110$","$  -0.032$","$  0.118$","$1081.932$","$1.002$"
"22","rho[2,4]","$   0.194$","$ 0.005$","$ 0.126$","$  -0.062$","$   0.110$","$   0.199$","$   0.282$","$  0.428$","$ 623.035$","$1.007$"
"23","rho[3,4]","$   0.796$","$ 0.008$","$ 0.094$","$   0.592$","$   0.737$","$   0.808$","$   0.867$","$  0.940$","$ 152.112$","$1.033$"
"24","rho[1,5]","$   0.023$","$ 0.006$","$ 0.135$","$  -0.232$","$  -0.068$","$   0.024$","$   0.115$","$  0.285$","$ 564.687$","$1.003$"
"25","rho[2,5]","$   0.119$","$ 0.011$","$ 0.160$","$  -0.188$","$   0.008$","$   0.118$","$   0.224$","$  0.438$","$ 226.174$","$1.014$"
"26","rho[3,5]","$  -0.246$","$ 0.018$","$ 0.202$","$  -0.663$","$  -0.382$","$  -0.237$","$  -0.105$","$  0.133$","$ 119.465$","$1.021$"
"27","rho[4,5]","$  -0.288$","$ 0.009$","$ 0.155$","$  -0.576$","$  -0.396$","$  -0.291$","$  -0.183$","$  0.014$","$ 275.549$","$1.009$"
